,city,city_id,cloudiness,cod,country,date,humidity,lat,lon,main_pressure,main_temp,sys_country,sys_id,sys_sunrise,sys_sunset,sys_type,temp_max,temp_min,timezone,visibility,weather_description,weather_icon,weather_id,weather_main,wind_deg,wind_speed
1329,Minna,NaN,68.0,NaN,NG,1573179644.0,64.0,9.62,6.55,NaN,NaN,NG,NaN,NaN,NaN,NaN,76.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.13
1330,Suozhen,NaN,0.0,NaN,CN,1573179645.0,41.0,36.95,118.1,NaN,NaN,CN,NaN,NaN,NaN,NaN,59.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.95
1331,Karabudakhkent,552953,40.0,200,RU,1573179646.0,93.0,42.71,47.58,1020,46.4,RU,8965,1573183906,1573220103,1,46.4,46.4,10800,10000,scattered clouds,03n,802,Clouds,190,6.71
1332,General Pico,NaN,11.0,NaN,AR,1573179647.0,35.0,-35.66,-63.75,NaN,NaN,AR,NaN,NaN,NaN,NaN,65.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.34
1333,Siderno,6540819,20.0,200,IT,1573179648.0,59.0,38.28,16.3,1009,60.8,IT,6712,1573190879,1573228145,1,60.8,60.8,3600,10000,few clouds,02n,801,Clouds,300,5.82
1334,Bend,5713587,1.0,200,US,1573179463.0,65.0,44.06,-121.32,1024,39.6,US,3410,1573138180,1573174096,1,41.0,37.4,-28800,16093,clear sky,01n,800,Clear,241,4.76
1335,Karasjok,779350,41.0,200,NO,1573179650.0,92.0,69.47,25.52,1018,15.8,NO,1646,1573197279,1573217319,1,15.8,15.8,3600,10000,scattered clouds,03n,802,Clouds,300,5.82
1336,Three Hills,6165875,75.0,200,CA,1573179651.0,85.0,51.7,-113.27,1015,23,CA,887,1573137457,1573170955,1,23.0,23,-25200,24140,broken clouds,04n,803,Clouds,190,5.82
1337,Huayucachi,NaN,100.0,NaN,PE,1573179653.0,95.0,-12.13,-75.23,NaN,NaN,PE,NaN,NaN,NaN,NaN,41.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.58
1338,De Aar,NaN,1.0,NaN,ZA,1573179654.0,84.0,-30.65,24.01,NaN,NaN,ZA,NaN,NaN,NaN,NaN,44.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.18
1339,Pundaguitan,NaN,100.0,NaN,PH,1573179655.0,71.0,6.37,126.17,NaN,NaN,PH,NaN,NaN,NaN,NaN,83.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.61
1340,Pandan,NaN,83.0,NaN,PH,1573179656.0,76.0,11.72,122.09,NaN,NaN,PH,NaN,NaN,NaN,NaN,82.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.8
1341,Winslow,2633808,49.0,200,GB,1573179658.0,100.0,51.94,-0.88,999,32.49,GB,1400,1573197003,1573230268,1,37.4,26.6,0,10000,scattered clouds,03n,802,Clouds,200,3.36
1342,Grande Prairie,5964347,90.0,200,CA,1573179659.0,80.0,55.17,-118.79,1011,39.2,CA,900,1573139492,1573171569,1,39.2,39.2,-25200,32186,light rain,10n,500,Rain,200,6.93
1343,Xining,NaN,0.0,NaN,CN,1573179361.0,52.0,36.62,101.77,NaN,NaN,CN,NaN,NaN,NaN,NaN,40.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.85
1344,Xichang,NaN,70.0,NaN,CN,1573179661.0,77.0,27.88,102.25,NaN,NaN,CN,NaN,NaN,NaN,NaN,50.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.14
1345,West Bay,6173331,40.0,200,CA,1573179663.0,93.0,49.34,-123.21,1022,44.6,CA,761,1573139429,1573173755,1,44.6,44.6,-28800,24140,scattered clouds,03n,802,Clouds,250,3.36
