,city,city_id,cloudiness,cod,country,date,humidity,lat,lon,main_pressure,main_temp,sys_country,sys_id,sys_sunrise,sys_sunset,sys_type,temp_max,temp_min,timezone,visibility,weather_description,weather_icon,weather_id,weather_main,wind_deg,wind_speed
0,Bluff,NaN,0.0,NaN,AU,1573177874.0,11.0,-23.58,149.07,NaN,NaN,AU,NaN,NaN,NaN,NaN,96.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.68
1,Castro,NaN,97.0,NaN,CL,1573177888.0,94.0,-42.48,-73.76,NaN,NaN,CL,NaN,NaN,NaN,NaN,35.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.89
2,Busselton,NaN,0.0,NaN,AU,1573177872.0,52.0,-33.64,115.35,NaN,NaN,AU,NaN,NaN,NaN,NaN,70.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.95
3,Kodiak,4407665,1.0,200,US,1573177842.0,42.0,39.95,-94.76,1034,27.39,US,4042,1573131280,1573168246,1,28.4,26.6,-21600,16093,clear sky,01n,800,Clear,30,1.99
4,Irbeyskoye,NaN,76.0,NaN,RU,1573178002.0,67.0,55.64,95.45,NaN,NaN,RU,NaN,NaN,NaN,NaN,34.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.35
5,Barrow,NaN,2.0,NaN,AR,1573177844.0,91.0,-38.31,-60.23,NaN,NaN,AR,NaN,NaN,NaN,NaN,43.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.91
6,Hamilton,5969785,75.0,200,CA,1573177943.0,92.0,43.26,-79.87,1022,29.79,CA,818,1573128116,1573164263,1,32.0,28.4,-18000,4828,light snow,13n,600,Snow,320,4.7
7,Jamestown,NaN,57.0,NaN,AU,1573177832.0,36.0,-33.21,138.6,NaN,NaN,AU,NaN,NaN,NaN,NaN,58.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.77
8,Tiznit,NaN,3.0,NaN,MA,1573177929.0,45.0,29.7,-9.73,NaN,NaN,MA,NaN,NaN,NaN,NaN,56.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.43
9,Pochutla,3517970,40.0,200,MX,1573178007.0,74.0,15.74,-96.47,1011,82.74,MX,7096,1573129490,1573170858,1,84.2,80.6,-21600,12874,scattered clouds,03n,802,Clouds,302,7.7
10,Kudahuvadhoo,NaN,89.0,NaN,MV,1573178009.0,76.0,2.67,72.89,NaN,NaN,MV,NaN,NaN,NaN,NaN,82.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.17
11,Rikitea,NaN,93.0,NaN,PF,1573177873.0,85.0,-23.12,-134.97,NaN,NaN,PF,NaN,NaN,NaN,NaN,74.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.06
12,Cherskiy,NaN,100.0,NaN,RU,1573177862.0,75.0,68.75,161.3,NaN,NaN,RU,NaN,NaN,NaN,NaN,20.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1
13,Qaanaaq,NaN,0.0,NaN,GL,1573177884.0,67.0,77.48,-69.36,NaN,NaN,GL,NaN,NaN,NaN,NaN,-2.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.27
14,Kaitangata,NaN,62.0,NaN,NZ,1573177842.0,73.0,-46.28,169.85,NaN,NaN,NZ,NaN,NaN,NaN,NaN,56.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.48
15,Punta Arenas,NaN,98.0,NaN,CL,1573177879.0,81.0,-53.16,-70.91,NaN,NaN,CL,NaN,NaN,NaN,NaN,36.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.31
16,Diamantino,NaN,99.0,NaN,BR,1573178017.0,95.0,-14.4,-56.44,NaN,NaN,BR,NaN,NaN,NaN,NaN,72.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.77
17,Hermanus,NaN,5.0,NaN,ZA,1573177585.0,81.0,-34.42,19.24,NaN,NaN,ZA,NaN,NaN,NaN,NaN,59.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.3
18,Bambous Virieux,1106677,40.0,200,MU,1573177887.0,78.0,-20.34,57.76,1020,75.2,MU,2061,1573176231,1573222891,1,75.2,75.2,14400,10000,shower rain,09d,521,Rain,100,12.75
19,Margate,2158744,40.0,200,AU,1573177842.0,70.0,-43.03,147.26,998,48.2,AU,9545,1573152365,1573203795,1,48.2,48.2,39600,10000,shower rain,09d,521,Rain,200,8.05
20,Independenta,NaN,100.0,NaN,RO,1573178022.0,73.0,45.48,27.75,NaN,NaN,RO,NaN,NaN,NaN,NaN,56.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.15
21,San Juan,NaN,0.0,NaN,AR,1573178023.0,25.0,-31.54,-68.53,NaN,NaN,AR,NaN,NaN,NaN,NaN,72.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.44
22,Hovd,7626384,0.0,200,NO,1573177576.0,85.0,63.83,10.7,1013,18.97,NO,1676,1573197556,1573224157,1,21.2,15.8,3600,10000,clear sky,01n,800,Clear,140,3.36
23,Lebu,344979,40.0,200,ET,1573177866.0,62.0,8.96,38.73,1026,55.4,ET,2453,1573182959,1573225299,1,55.4,55.4,10800,10000,scattered clouds,03n,802,Clouds,120,3.36
24,Floriano,NaN,72.0,NaN,BR,1573178027.0,41.0,-6.77,-43.02,NaN,NaN,BR,NaN,NaN,NaN,NaN,83.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.45
25,Tuktoyaktuk,6170031,90.0,200,CA,1573177843.0,72.0,69.44,-133.03,1027,14,CA,942,1573148735,1573169162,1,14.0,14,-25200,9656,light snow,13n,600,Snow,330,19.46
26,Sertania,NaN,100.0,NaN,BR,1573178029.0,86.0,-8.07,-37.26,NaN,NaN,BR,NaN,NaN,NaN,NaN,67.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52
27,Saint-Philippe,6138908,90.0,200,CA,1573177894.0,62.0,45.36,-73.48,1019,29.19,CA,4146,1573126868,1573162444,1,32.0,24.8,-18000,16093,overcast clouds,04n,804,Clouds,346,6.33
28,Caravelas,NaN,0.0,NaN,BR,1573177916.0,94.0,-17.73,-39.27,NaN,NaN,BR,NaN,NaN,NaN,NaN,70.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7
29,Beni Suef,NaN,0.0,NaN,EG,1573178034.0,79.0,29.07,31.1,NaN,NaN,EG,NaN,NaN,NaN,NaN,62.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.56
30,San Patricio,NaN,0.0,NaN,PY,1573177905.0,96.0,-26.98,-56.83,NaN,NaN,PY,NaN,NaN,NaN,NaN,70.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.03
31,Bethel,5880568,90.0,200,US,1573177881.0,92.0,60.79,-161.76,1001,30.2,US,7640,1573151331,1573180358,1,30.2,30.2,-32400,4023,overcast clouds,04n,804,Clouds,20,14.99
32,Saint George,262462,75.0,200,GR,1573177876.0,72.0,39.45,22.34,1011,62.6,GR,6607,1573189564,1573226561,1,62.6,62.6,7200,10000,light rain,10n,500,Rain,280,6.93
33,Alice Springs,2077895,0.0,200,AU,1573177910.0,12.0,-23.7,133.88,1019,86,AU,9483,1573157684,1573204899,1,86.0,86,34200,10000,clear sky,01d,800,Clear,140,11.41
34,Iqaluit,5983720,90.0,200,CA,1573177877.0,78.0,63.75,-68.52,1007,15.8,CA,797,1573129986,1573156945,1,15.8,15.8,-18000,24140,overcast clouds,04n,804,Clouds,330,16.11
35,Lorengau,NaN,100.0,NaN,PG,1573177870.0,80.0,-2.02,147.27,NaN,NaN,PG,NaN,NaN,NaN,NaN,81.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.83
36,Myitkyina,NaN,26.0,NaN,MM,1573178042.0,56.0,25.38,97.4,NaN,NaN,MM,NaN,NaN,NaN,NaN,75.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.02
37,Carnarvon,NaN,23.0,NaN,ZA,1573177875.0,75.0,-30.97,22.13,NaN,NaN,ZA,NaN,NaN,NaN,NaN,46.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.48
38,Ushuaia,3833367,75.0,200,AR,1573177554.0,74.0,-54.81,-68.31,1003,37.4,AR,8303,1573115559,1573171271,1,37.4,37.4,-10800,10000,shower rain,09n,521,Rain,230,20.8
39,Mabaruma,NaN,100.0,NaN,GY,1573178046.0,98.0,8.2,-59.78,NaN,NaN,GY,NaN,NaN,NaN,NaN,73.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.88
40,Vazante,NaN,60.0,NaN,BR,1573178047.0,81.0,-17.99,-46.9,NaN,NaN,BR,NaN,NaN,NaN,NaN,70.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.02
41,Baghdad,98182,0.0,200,IQ,1573177837.0,54.0,33.3,44.38,1015,57.2,IQ,7597,1573183603,1573221942,1,57.2,57.2,10800,10000,clear sky,01n,800,Clear,320,4.7
42,Boueni,1090467,20.0,200,YT,1573178049.0,94.0,-12.9,45.08,1013,78.8,YT,2131,1573179860,1573225349,1,78.8,78.8,10800,10000,few clouds,02n,801,Clouds,360,3.36
43,Abu Kamal,NaN,0.0,NaN,SY,1573178050.0,47.0,34.45,40.92,NaN,NaN,SY,NaN,NaN,NaN,NaN,64.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.12
44,San Vicente,3660401,90.0,200,EC,1573178051.0,88.0,-0.59,-80.41,1008,73.4,EC,8552,1573124470,1573168168,1,73.4,73.4,-18000,10000,overcast clouds,04n,804,Clouds,230,9.17
45,Palencia,3114531,61.0,200,ES,1573178052.0,93.0,42.01,-4.53,1011,35.6,ES,6437,1573196333,1573232690,1,35.6,35.6,3600,10000,light snow,13n,600,Snow,260,17.22
46,Cayenne,3382160,75.0,200,GF,1573178053.0,94.0,4.94,-52.33,1010,77,GF,8669,1573118117,1573161042,1,77.0,77,-10800,10000,broken clouds,04n,803,Clouds,80,6.38
47,Raudeberg,3146487,33.0,200,NO,1573178054.0,68.0,61.99,5.14,NaN,NaN,NO,1616,1573198175,1573226207,1,30.2,NaN,3600,NaN,NaN,NaN,NaN,NaN,NaN,5.82
48,Aranos,NaN,29.0,NaN,NA,1573178056.0,16.0,-24.14,19.11,NaN,NaN,NA,NaN,NaN,NaN,NaN,68.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.06
49,Dunedin,NaN,100.0,NaN,NZ,1573178026.0,48.0,-45.87,170.5,NaN,NaN,NZ,NaN,NaN,NaN,NaN,63.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.45
50,Shimoda,1852357,20.0,200,JP,1573178058.0,48.0,34.7,138.93,1015,64.4,JP,8070,1573161039,1573199120,1,64.4,64.4,32400,10000,few clouds,02d,801,Clouds,30,18.34
51,Parkersburg,4817641,90.0,200,US,1573178059.0,100.0,39.27,-81.55,1026,35.71,US,6138,1573128028,1573165158,1,37.4,33.8,-18000,16093,overcast clouds,04n,804,Clouds,310,6.93
52,Puno,3931276,75.0,200,PE,1573178060.0,61.0,-15.84,-70.03,1034,50,PE,8667,1573120873,1573166783,1,50.0,50,-18000,10000,broken clouds,04n,803,Clouds,120,6.93
53,Baker City,5712169,1.0,200,US,1573178061.0,40.0,44.77,-117.83,1025,51.8,US,4692,1573137440,1573173161,1,51.8,51.8,-28800,16093,clear sky,01n,800,Clear,140,10.29
54,Tasiilaq,3424607,100.0,200,GL,1573177873.0,86.0,65.61,-37.64,NaN,NaN,GL,81,1573123391,1573148717,1,30.2,NaN,-10800,NaN,NaN,NaN,NaN,NaN,NaN,38.03
55,Mataura,NaN,37.0,NaN,NZ,1573177875.0,39.0,-46.19,168.86,NaN,NaN,NZ,NaN,NaN,NaN,NaN,68.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.21
56,Mizque,NaN,93.0,NaN,BO,1573178064.0,81.0,-17.94,-65.34,NaN,NaN,BO,NaN,NaN,NaN,NaN,55.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.83
57,Port Macquarie,2152659,0.0,200,AU,1573177912.0,8.0,-31.43,152.91,1001,89.6,AU,9610,1573152396,1573201052,1,89.6,89.6,39600,10000,clear sky,01d,800,Clear,310,10.29
58,Nantucket,4944903,75.0,200,US,1573178067.0,87.0,41.28,-70.1,1014,55.02,US,3218,1573125518,1573162172,1,57.2,53.6,-18000,14484,broken clouds,04n,803,Clouds,240,8.05
59,Hasaki,2112802,20.0,200,JP,1573177896.0,55.0,35.73,140.83,1016,61.52,JP,7955,1573160690,1573198557,1,62.6,60.8,32400,10000,few clouds,02d,801,Clouds,70,11.41
60,Maceio,3395981,100.0,200,BR,1573177795.0,88.0,-9.67,-35.74,1013,73.4,BR,8413,1573113105,1573158091,1,73.4,73.4,-10800,10000,light rain,10n,500,Rain,100,5.82
61,Salalah,286621,70.0,200,OM,1573177907.0,47.0,17.01,54.1,1012,75.2,OM,7562,1573179865,1573221015,1,75.2,75.2,14400,10000,broken clouds,04n,803,Clouds,360,4.7
62,Broome,2656067,0.0,200,GB,1573177910.0,93.0,52.47,1.45,999,35.96,GB,1467,1573196546,1573229606,1,37.4,35.6,0,10000,clear sky,01n,800,Clear,200,5.82
63,Port Elizabeth,4501427,75.0,200,US,1573177884.0,93.0,39.31,-74.98,1017,52.05,US,9745,1573126455,1573163577,1,55.4,48.2,-18000,16093,light rain,10n,500,Rain,310,3.36
64,Zhezkazgan,1516589,74.0,200,KZ,1573178073.0,92.0,47.8,67.71,1028,26.6,KZ,8826,1573179802,1573214544,1,26.6,26.6,21600,10000,broken clouds,04n,803,Clouds,230,8.95
65,Srednekolymsk,NaN,5.0,NaN,RU,1573177887.0,94.0,67.46,153.71,NaN,NaN,RU,NaN,NaN,NaN,NaN,0.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.42
66,Pakokku,NaN,24.0,NaN,MM,1573178075.0,79.0,21.33,95.09,NaN,NaN,MM,NaN,NaN,NaN,NaN,78.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.74
67,Puerto Ayora,3652764,20.0,200,EC,1573177833.0,73.0,-0.74,-90.35,1009,73.4,EC,8521,1573126846,1573170564,1,73.4,73.4,-21600,10000,few clouds,02n,801,Clouds,150,13.87
68,Faanui,NaN,4.0,NaN,PF,1573177858.0,81.0,-16.48,-151.75,NaN,NaN,PF,NaN,NaN,NaN,NaN,80.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.86
69,Beringovskiy,NaN,52.0,NaN,RU,1573177907.0,91.0,63.05,179.32,NaN,NaN,RU,NaN,NaN,NaN,NaN,28.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.56
70,Altamira,NaN,24.0,NaN,BR,1573177877.0,88.0,-3.2,-52.21,NaN,NaN,BR,NaN,NaN,NaN,NaN,75.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.01
71,Saint Paul,5045360,1.0,200,US,1573177803.0,67.0,44.95,-93.1,1033,16.7,US,5829,1573131524,1573167206,1,21.2,10.4,-21600,16093,clear sky,01n,800,Clear,282,3.02
72,Traralgon,NaN,67.0,NaN,AU,1573178083.0,42.0,-38.19,146.54,NaN,NaN,AU,NaN,NaN,NaN,NaN,54.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.45
73,Saint-Remi,6138987,90.0,200,CA,1573178085.0,62.0,45.27,-73.62,1019,29.43,CA,4146,1573126889,1573162490,1,32.0,24.8,-18000,16093,overcast clouds,04n,804,Clouds,346,6.33
74,Naze,2337542,75.0,200,NG,1573178086.0,94.0,5.43,7.07,1009,77,NG,1170,1573190305,1573233149,1,77.0,77,3600,7000,broken clouds,04n,803,Clouds,266,2.42
75,Albany,5106834,90.0,200,US,1573177872.0,80.0,42.65,-73.75,1016,34.09,US,5414,1573126567,1573162875,1,37.4,30.2,-18000,3219,light rain,10n,500,Rain,290,14.99
76,Nikolskoye,546105,90.0,200,RU,1573177882.0,92.0,59.7,30.79,1015,24.8,RU,8926,1573191251,1573220818,1,24.8,24.8,10800,10000,overcast clouds,04n,804,Clouds,100,8.95
77,Vaini,1273574,9.0,200,IN,1573177853.0,93.0,15.34,74.49,1015,62.6,IN,9229,1573174843,1573216249,1,62.6,62.6,19800,6000,clear sky,01d,800,Clear,302,1.79
78,Itarema,NaN,1.0,NaN,BR,1573177897.0,76.0,-2.92,-39.92,NaN,NaN,BR,NaN,NaN,NaN,NaN,78.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.22
79,Saldanha,NaN,20.0,NaN,PT,1573177873.0,91.0,41.42,-6.55,NaN,NaN,PT,NaN,NaN,NaN,NaN,37.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.26
80,Haines Junction,NaN,100.0,NaN,CA,1573178093.0,98.0,60.75,-137.51,NaN,NaN,CA,NaN,NaN,NaN,NaN,32.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.68
81,Taganak,1684606,75.0,200,PH,1573178094.0,74.0,6.08,118.3,1011,84.2,PH,9374,1573163653,1573206409,1,84.2,84.2,28800,10000,broken clouds,04d,803,Clouds,200,5.82
82,Sao Felix do Xingu,NaN,5.0,NaN,BR,1573178095.0,89.0,-6.64,-51.99,NaN,NaN,BR,NaN,NaN,NaN,NaN,72.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.01
83,Marawi,NaN,7.0,NaN,PH,1573178096.0,81.0,8.0,124.29,NaN,NaN,PH,NaN,NaN,NaN,NaN,75.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.07
84,East London,NaN,11.0,NaN,ZA,1573177886.0,61.0,-33.02,27.91,NaN,NaN,ZA,NaN,NaN,NaN,NaN,63.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.09
85,Udachnyy,2014624,0.0,200,RU,1573178100.0,75.0,66.42,112.4,1008,-14.81,RU,8846,1573174330,1573198564,1,-14.81,-14.81,32400,10000,clear sky,01d,800,Clear,150,4.47
86,Butaritari,NaN,30.0,NaN,KI,1573177874.0,67.0,3.07,172.79,NaN,NaN,KI,NaN,NaN,NaN,NaN,84.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.17
87,Meadow Lake,NaN,100.0,NaN,CA,1573178102.0,89.0,54.13,-108.44,NaN,NaN,CA,NaN,NaN,NaN,NaN,18.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.13
88,Moroto,NaN,4.0,NaN,UG,1573178103.0,70.0,2.53,34.66,NaN,NaN,UG,NaN,NaN,NaN,NaN,70.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.75
89,Geraldton,5960603,90.0,200,CA,1573178104.0,78.0,49.72,-86.95,1028,12.2,CA,810,1573130780,1573164997,1,12.2,12.2,-18000,24140,light snow,13n,600,Snow,320,6.93
90,Tanout,NaN,0.0,NaN,NE,1573177888.0,15.0,14.97,8.88,NaN,NaN,NE,NaN,NaN,NaN,NaN,79.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.26
91,Victoria,1733782,75.0,200,BN,1573177879.0,83.0,5.28,115.24,NaN,NaN,BN,9372,1573164330,1573207200,1,84.2,NaN,28800,10000,broken clouds,04d,803,Clouds,NaN,4.7
92,Coahuayana,NaN,2.0,NaN,MX,1573177908.0,76.0,18.62,-100.35,NaN,NaN,MX,NaN,NaN,NaN,NaN,73.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.29
93,Vanimo,NaN,100.0,NaN,PG,1573178110.0,68.0,-2.67,141.3,NaN,NaN,PG,NaN,NaN,NaN,NaN,84.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.44
94,Cape Town,3369157,20.0,200,ZA,1573177802.0,82.0,-33.93,18.42,1021,57.2,ZA,1899,1573184394,1573233612,1,57.2,57.2,7200,10000,few clouds,02n,801,Clouds,190,8.05
95,Severo-Kurilsk,NaN,76.0,NaN,RU,1573177922.0,77.0,50.68,156.12,NaN,NaN,RU,NaN,NaN,NaN,NaN,33.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.17
96,Sao Filipe,NaN,100.0,NaN,CV,1573177880.0,81.0,14.9,-24.5,NaN,NaN,CV,NaN,NaN,NaN,NaN,74.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.2
97,Atuona,NaN,0.0,NaN,PF,1573177885.0,79.0,-9.8,-139.03,NaN,NaN,PF,NaN,NaN,NaN,NaN,80.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.82
98,Fairbanks,5861897,90.0,200,US,1573177807.0,73.0,64.84,-147.72,1013,24.21,US,7674,1573149510,1573175439,1,24.8,23,-32400,8047,light snow,13n,600,Snow,20,9.17
99,Avarua,4035715,100.0,200,CK,1573177880.0,69.0,-21.21,-159.78,1014,77,CK,7271,1573141979,1573188759,1,77.0,77,-36000,10000,overcast clouds,04n,804,Clouds,100,11.41
100,Hilo,5855927,1.0,200,US,1573177830.0,62.0,19.71,-155.08,1011,84.2,US,7881,1573143864,1573184618,1,84.2,84.2,-36000,16093,clear sky,01n,800,Clear,360,8.05
101,Ribeira Brava,2263905,75.0,200,PT,1573178118.0,64.0,32.65,-17.07,1023,68,PT,6894,1573198296,1573236747,1,68.0,68,0,10000,broken clouds,04n,803,Clouds,30,19.46
102,Veraval,3031871,75.0,200,FR,1573177891.0,100.0,49.65,0.71,1000,39.79,FR,6536,1573196205,1573230303,1,42.8,37.4,3600,10000,broken clouds,04n,803,Clouds,130,5.82
103,Dikson,NaN,75.0,NaN,RU,1573177838.0,97.0,73.51,80.55,NaN,NaN,RU,NaN,NaN,NaN,NaN,-9.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.95
104,Yellowknife,6185377,90.0,200,CA,1573177831.0,78.0,62.45,-114.38,1018,14,CA,1007,1573140510,1573168434,1,14.0,14,-25200,24140,light snow,13n,600,Snow,70,9.17
105,Mayor Pablo Lagerenza,NaN,100.0,NaN,PY,1573178123.0,76.0,-19.93,-60.77,NaN,NaN,PY,NaN,NaN,NaN,NaN,76.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.05
106,Atasu,NaN,100.0,NaN,KZ,1573178124.0,62.0,48.68,71.64,NaN,NaN,KZ,NaN,NaN,NaN,NaN,29.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.06
107,Tashla,867006,20.0,200,RU,1573178125.0,75.0,53.71,49.75,1017,44.6,RU,9051,1573185191,1573217777,1,44.6,44.6,14400,10000,few clouds,02n,801,Clouds,230,2.24
108,Piraju,NaN,58.0,NaN,BR,1573178126.0,96.0,-23.19,-49.38,NaN,NaN,BR,NaN,NaN,NaN,NaN,66.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.2
109,Khatanga,NaN,0.0,NaN,RU,1573177838.0,86.0,71.98,102.47,NaN,NaN,RU,NaN,NaN,NaN,NaN,-12.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.98
110,Flin Flon,NaN,100.0,NaN,CA,1573178129.0,85.0,54.77,-101.88,NaN,NaN,CA,NaN,NaN,NaN,NaN,13.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.85
111,Chicama,3698359,75.0,200,PE,1573178130.0,82.0,-7.84,-79.15,1010,62.6,PE,8690,1573123655,1573168379,1,62.6,62.6,-18000,10000,broken clouds,04n,803,Clouds,140,6.93
112,Price,5545269,1.0,200,US,1573178095.0,22.0,39.6,-110.81,1027,46.4,US,5428,1573135094,1573172137,1,46.4,46.4,-25200,16093,clear sky,01n,800,Clear,50,6.93
113,Amuntai,NaN,26.0,NaN,ID,1573177903.0,43.0,-2.42,115.25,NaN,NaN,ID,NaN,NaN,NaN,NaN,94.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.59
114,Chuy,NaN,0.0,NaN,UY,1573177874.0,85.0,-33.69,-53.46,NaN,NaN,UY,NaN,NaN,NaN,NaN,61.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.06
115,Santiago del Estero,NaN,0.0,NaN,AR,1573178135.0,46.0,-27.8,-64.26,NaN,NaN,AR,NaN,NaN,NaN,NaN,74.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7
116,Saint Austell,2638853,75.0,200,GB,1573178136.0,93.0,50.34,-4.77,999,39.2,GB,1393,1573197643,1573231496,1,39.2,39.2,0,10000,broken clouds,04n,803,Clouds,20,11.41
117,Mahebourg,934322,40.0,200,MU,1573177897.0,78.0,-20.41,57.7,1020,75.2,MU,2061,1573176240,1573222911,1,75.2,75.2,14400,10000,shower rain,09d,521,Rain,100,12.75
118,Gebre Guracha,NaN,13.0,NaN,ET,1573178138.0,57.0,9.8,38.4,NaN,NaN,ET,NaN,NaN,NaN,NaN,54.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.13
119,Pisco,3932145,0.0,200,PE,1573177890.0,82.0,-13.71,-76.2,1010,64.4,PE,8691,1573122516,1573168102,1,64.4,64.4,-18000,10000,clear sky,01n,800,Clear,210,14.99
120,Lompoc,5367788,1.0,200,US,1573177784.0,93.0,34.64,-120.46,1019,58.44,US,9683,1573136870,1573174994,1,60.8,55.4,-28800,11265,clear sky,01n,800,Clear,355,7.85
121,Bom Sucesso,NaN,100.0,NaN,BR,1573178141.0,95.0,-21.03,-44.76,NaN,NaN,BR,NaN,NaN,NaN,NaN,67.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.44
122,Thompson,6165406,75.0,200,CA,1573177876.0,92.0,55.74,-97.86,1024,6.8,CA,935,1573134592,1573166423,1,6.8,6.8,-21600,24140,broken clouds,04n,803,Clouds,250,4.0
123,Mbandaka,NaN,99.0,NaN,CD,1573178144.0,87.0,0.05,18.26,NaN,NaN,CD,NaN,NaN,NaN,NaN,71.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.28
124,Portree,NaN,9.0,NaN,GB,1573178145.0,61.0,57.41,-6.19,NaN,NaN,GB,NaN,NaN,NaN,NaN,41.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.79
125,Moron,NaN,5.0,NaN,HT,1573177589.0,82.0,18.56,-74.26,NaN,NaN,HT,NaN,NaN,NaN,NaN,79.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.23
126,Chokurdakh,NaN,86.0,NaN,RU,1573177891.0,98.0,70.62,147.9,NaN,NaN,RU,NaN,NaN,NaN,NaN,-5.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.37
127,Port Shepstone,NaN,100.0,NaN,ZA,1573178148.0,82.0,-30.74,30.45,NaN,NaN,ZA,NaN,NaN,NaN,NaN,59.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.35
128,Berlevag,NaN,100.0,NaN,NO,1573177913.0,89.0,70.86,29.09,NaN,NaN,NO,NaN,NaN,NaN,NaN,31.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.0
129,Porto Novo,6322184,75.0,200,BR,1573177910.0,88.0,-23.68,-45.44,1015,68,BR,8434,1573114337,1573161515,1,68.0,68,-10800,9000,light rain,10n,500,Rain,150,10.29
